architecture_id,operator_index,role,role_name,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response
a001957,3,0,uncertainty,0.0,0.10459893297270488,0.0,0.0,0.0,0.006338426414377537,0.25357393136547257,0.0,-0.045093795093795075,0.0,-0.0003143023425995206,0.0
a001958,0,5,stabilization,0.0,0.12718232070149615,0.3044061762036505,0.0,0.37442363096985776,0.007926401364224804,0.0,0.0,0.028482496431864956,0.26091957960312895,-0.008416512971377799,0.0
a001958,1,6,compression_2,0.0,0.08643246251070719,0.0,0.15525263993134186,0.07313058019188157,0.0,0.0,0.14405410418451198,-0.04761904761904767,0.0,0.18732579630290735,0.0
a001958,2,3,propagation,0.0,0.0,0.0,0.14090222178296685,0.06637092440985504,0.0,0.0,0.0,-0.04761904761904767,0.0,0.07771565163466165,0.0
a001958,3,6,compression_2,0.0,0.08643246251070719,0.0,0.15525263993134186,0.07313058019188157,0.0,0.0,0.14405410418451198,-0.04761904761904767,0.0,0.18732579630290735,0.0
a001961,0,3,propagation,0.0,0.17033418782182286,0.0,0.0,0.0,0.007086761455126885,0.0,0.0,-0.030070993693807613,0.0,-0.0048613001577842985,0.0
a001961,1,5,stabilization,0.0,0.0,0.18576576899798775,0.0,0.186160020424174,0.0,0.0,0.0,0.016370448555689365,0.15922780199827513,-0.0048613001577842985,0.0
a001961,2,8,replacement,0.0,0.02886689311543661,0.09284017005629552,0.0,0.09303720511635793,0.0,0.0,0.0,-0.006860951179733732,0.07957728861968172,-0.0048613001577842985,0.2886689311543661
a001961,3,7,compression_3,0.0,0.0,0.0,0.3026197682750591,0.16130811547251517,0.0,0.0,0.0,-0.030070993693807613,0.0,0.17221215884640567,0.0
a001961,4,6,compression_2,0.0,0.03877277800445178,0.0,0.1696493638079245,0.09042971423497326,0.0,0.0,0.06462129667408634,-0.030070993693807613,0.0,0.1396414109314158,0.0
a001961,5,3,propagation,0.0,0.052581122731176044,0.0,0.0,0.0,0.0,0.0,0.08763520455196011,-0.030070993693807613,0.0,0.05648334302858782,0.0
a001961,6,8,replacement,0.0,0.06998105558892181,0.0,0.0,0.0,0.0,0.0,0.06462129667408634,-0.030070993693807613,0.0,0.04037360751407615,0.31208277584470057
a001967,0,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.19317456618186857,0.0,-0.0292397660818714,0.0,-0.00393550071217319,0.0
a001967,1,7,compression_3,0.0,0.0,0.0,0.21068096307391515,0.08380490506488958,0.005749074137496729,0.0,0.0,-0.0292397660818714,0.0,0.11788131255235978,0.0
a001967,2,5,stabilization,0.0,0.0,0.2395738377735276,0.0,0.2153722816674426,0.0,0.0,0.0,0.03065369336151047,0.20534900380588078,-0.00393550071217319,0.0
a001967,3,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13643695996650324,-0.0292397660818714,0.0,-0.00393550071217319,0.0
a001967,4,3,propagation,0.0,0.0,0.0,0.0,0.0,0.0,0.055462468722908054,0.0,-0.0292397660818714,0.0,-0.00393550071217319,0.0
a001967,5,6,compression_2,0.0,0.08589225050645166,0.0,0.21068096307391515,0.08380490506488958,0.0,0.0,0.14315375084408605,-0.0292397660818714,0.0,0.21808893814322006,0.0
a001967,6,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.004239308019418367,0.0,0.1724416055416993,-0.0292397660818714,0.0,-0.00393550071217319,0.0
a001967,7,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.005749074137496729,0.20986443039706504,0.0,-0.0292397660818714,0.0,-0.00393550071217319,0.0
a001968,0,4,reconstruction,0.0,0.0840885489864896,0.0,0.0,0.0,0.053835697736691196,0.0,0.20700850558300488,-0.03588860178007458,0.0,-0.000635122024488094,0.0
a001968,1,5,stabilization,0.0,0.0,0.10776862013885613,0.0,0.012662551476792294,0.0,0.0,0.0,-0.008946446745360603,0.09237310297616241,-0.000635122024488094,0.0
a001968,2,5,stabilization,0.0,0.0,0.18856546209193303,0.0,0.02215598443598643,0.23295258253294962,0.0,0.0,0.011252763742908733,0.16162753893594273,-0.000635122024488094,0.0
a001968,3,3,propagation,0.0,0.05699149276704352,-0.04661572264416991,0.0,-0.0054772343456668815,0.036487450611882216,0.0,0.0,-0.04754253244111706,-0.03995633369500273,-0.000635122024488094,0.0
a001968,4,3,propagation,0.0,0.0840885489864896,0.0730407957942607,0.0,0.008582116347588209,0.053835697736691196,0.0,0.0,-0.01762840283150946,0.06260639639508059,-0.000635122024488094,0.0
a001968,5,8,replacement,0.0,0.1384356331807569,0.0,0.0,0.0,0.0,0.0,0.18265945594371658,-0.03588860178007458,0.0,0.12722649713611348,0.28839959614527
a001969,0,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.4023814626997749,0.0,-0.030249721101862193,0.0,-0.00485357543710474,0.0
a001969,1,4,reconstruction,0.0,0.15743476140777185,0.0,0.0,0.0,0.1003736853763692,0.0,0.20651462498353462,-0.030249721101862193,0.0,-0.00485357543710474,0.0
